legacyRegister,legacyNotation,legacyLabel,legacyURI,legacyDescription,disposition,proposedNotation,proposedLabel,mappingRelation,reviewStatus,targetVocabulary,rationale
Atmosphere,172,Potentiometry (ion-selective electrode),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/172,,merge,potentiometry,Potentiometry,close,discussion needed,ObservingMethod,Electrode/pH-meter implementation is instrument/analyte detail; consolidate under the electrochemical method.
Atmosphere,173,Potentiometry (pH meter),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/173,,merge,potentiometry,Potentiometry,close,discussion needed,ObservingMethod,Electrode/pH-meter implementation is instrument/analyte detail; consolidate under the electrochemical method.
Atmosphere,177,Propeller anemometer,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/177,,merge,propellerVelocityMeasurement,Propeller velocity measurement,close,discussion needed,ObservingMethod,Instrument name converted to a domain-neutral velocity-measurement principle also applicable to water.
Atmosphere,181,Radio acoustic sounding system (RASS),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/181,,merge,radioAcousticSounding,Radio-acoustic sounding,exact,non-controversial,ObservingMethod,Exact duplicate concept in the legacy registers.
Atmosphere,182,Radio acoustic sounding system (RASS),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/182,,merge,radioAcousticSounding,Radio-acoustic sounding,exact,non-controversial,ObservingMethod,Exact duplicate concept in the legacy registers.
Atmosphere,189,SAOZ (UV-vis diode array spectrometer),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/189,,merge,differentialOpticalAbsorptionSpectroscopy,Differential optical absorption spectroscopy,close,discussion needed,ObservingMethod,"Legacy entry names a branded or model-specific instrument; instrument identity belongs in instrument metadata, not ObservingMethod."
Atmosphere,211,Volumetric measurement,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/211,,merge,volumetricMeasurement,Volumetric measurement,exact,discussion needed,ObservingMethod,Potentially same principle as terrestrial 'Volumetric method'; confirm scope before final merge.
Atmosphere,217,Aerodyne mass spectrometer (AMS),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/217,,merge,aerosolMassSpectrometry,Aerosol mass spectrometry,close,discussion needed,ObservingMethod,"Legacy entry names a branded or model-specific instrument; instrument identity belongs in instrument metadata, not ObservingMethod."
Atmosphere,222,Monitor for AeRosols and GAses (MARGA),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/222,,merge,ionChromatography,Ion chromatography,close,discussion needed,ObservingMethod,"Legacy entry names a branded or model-specific instrument; instrument identity belongs in instrument metadata, not ObservingMethod. MARGA uses automated wet sampling followed by ion-chromatographic analysis; sampling should be represented separately."
Atmosphere,224,Particle soot absorption photometry (PSAP),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/224,,merge,lightAttenuationPhotometry,Light-attenuation photometry,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,244,Sun-tracking photometry,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/244,,merge,sunPhotometry,Sun photometry,exact,discussion needed,ObservingMethod,Potential parent concept for Microtops and filter sun-photometry variants; confirm desired hierarchy.
Atmosphere,265,"Pyrgeometer (global, infrared)",http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/265,,merge,infraredRadiometry,Infrared radiometry,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,292,Monitor for AeRosols and GAses (MARGA) Metrohm,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/292,,merge,ionChromatography,Ion chromatography,close,discussion needed,ObservingMethod,"Legacy entry names a branded or model-specific instrument; instrument identity belongs in instrument metadata, not ObservingMethod. MARGA uses automated wet sampling followed by ion-chromatographic analysis; sampling should be represented separately."
Atmosphere,321,Differential optical absorption (DOAS),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/321,,merge,differentialOpticalAbsorptionSpectroscopy,Differential optical absorption spectroscopy,exact,non-controversial,ObservingMethod,Spell out DOAS.
Atmosphere,323,TCCON Fourier-transform IR spectroscopy (TCCON-FTIR),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/323,,merge,fourierTransformInfraredSpectroscopy,Fourier-transform infrared spectroscopy,close,discussion needed,ObservingMethod,TCCON identifies a network/protocol context; the underlying method is FTIR spectroscopy.
Atmosphere,336,Microwave radiometry,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/336,,merge,microwaveRadiometry,Microwave radiometry,exact,non-controversial,ObservingMethod,Duplicate/near-duplicate instrument and method entries use the same microwave-radiometric principle.
Atmosphere,344,GC-CVAFS,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/344,Gas chromatography and detection by cold vapour atomic fluorescence spectrometry.,merge,gasChromatographyColdVapourAtomicFluorescence,Gas chromatography with cold-vapour atomic fluorescence spectrometry,exact,non-controversial,ObservingMethod,Exact duplicate concept in the legacy registers. Acronym is spelled out in the new notation.
Atmosphere,345,GC-TCD,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/345,Gas chromatography and detection by a thermal conductivity detector.,merge,gasChromatographyThermalConductivityDetection,Gas chromatography with thermal-conductivity detection,exact,non-controversial,ObservingMethod,Exact duplicate concept in the legacy registers. Acronym is spelled out in the new notation.
Atmosphere,417,GC-CVAFS,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/417,Gas chromatography and detection by cold vapour atomic fluorescence spectrometry.,merge,gasChromatographyColdVapourAtomicFluorescence,Gas chromatography with cold-vapour atomic fluorescence spectrometry,exact,non-controversial,ObservingMethod,Exact duplicate concept in the legacy registers. Acronym is spelled out in the new notation.
Atmosphere,418,GC-TCD,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/418,Gas chromatography and detection by a thermal conductivity detector.,merge,gasChromatographyThermalConductivityDetection,Gas chromatography with thermal-conductivity detection,exact,non-controversial,ObservingMethod,Exact duplicate concept in the legacy registers. Acronym is spelled out in the new notation.
Ocean,401,Mercury-based thermometry,http://codes.wmo.int/wmdr/ObservingMethodOcean/401,Measurement of temperature using a mercury based column.,merge,mercuryColumnThermometry,Mercury-column thermometry,exact,non-controversial,ObservingMethod,Same principle as atmospheric mercury-in-glass thermometry.
Ocean,402,Fluid-based thermometry (excluding mercury),http://codes.wmo.int/wmdr/ObservingMethodOcean/402,Measurement of temperature using a fluid based column (other than mercury).,merge,liquidColumnThermometry,Liquid-column thermometry,exact,non-controversial,ObservingMethod,Same principle as atmospheric mercury-free liquid-in-glass thermometry.
Ocean,404,Electrical conductivity,http://codes.wmo.int/wmdr/ObservingMethodOcean/404,Measurement derived from the measurement of electrical conductivity.,merge,electricalConductivityMeasurement,Electrical conductivity measurement,exact,non-controversial,ObservingMethod,Same physical method as atmosphere conductometry/electric conductivity.
Ocean,406,Piezoresistivity,http://codes.wmo.int/wmdr/ObservingMethodOcean/406,Measurement of the change in electrical resistance of a material under mechanical stress.,merge,piezoresistivePressureMeasurement,Piezoresistive pressure measurement,exact,non-controversial,ObservingMethod,Piezoresistivity is the pressure-transduction principle also represented by silicon-diaphragm pressure transducers.
Ocean,411,Potentiometric method,http://codes.wmo.int/wmdr/ObservingMethodOcean/411,Ion-sensitive field-effect transistor that responds to proton activity and a Ag/AgCl reference electrode.,merge,potentiometry,Potentiometry,close,discussion needed,ObservingMethod,Consolidate with atmosphere potentiometric entries; electrode implementation remains instrument detail.
Terrestrial,346,Frequency domain reflectometry,http://codes.wmo.int/wmdr/ObservingMethodTerrestrial/346,"Measurement of soil capacitance by means of radio frequency waves. The soil acts as the dielectric completing a capacitance circuit, which is part of a feedback loop of a high-frequency transistor oscillator. [Based on 'Frequency domain reflectometry' in Guide to Hydrological Practices (WMO-No. 168), Volume I. 2008 edition, updated in 2020.]",merge,frequencyDomainReflectometry,Frequency-domain reflectometry,exact,non-controversial,ObservingMethod,Exact duplicate concept in the legacy registers.
Terrestrial,347,Gamma-ray attenuation,http://codes.wmo.int/wmdr/ObservingMethodTerrestrial/347,"Determination of gamma-ray attenuation at given depth of soil using a source and a detector placed at a given distance at the same depth. If the apparent dry bulk density of the soil is known the signal can be converted into a measure of the volumetric soil-moisture content. [Based on 'Gamma-ray attenuation' in Guide to Hydrological Practices (WMO-No. 168), Volume I. 2008 edition, updated in 2020.]",merge,gammaRayAttenuation,Gamma-ray attenuation,exact,non-controversial,ObservingMethod,Exact duplicate concept in the legacy registers.
Terrestrial,348,Non-recording gauge,http://codes.wmo.int/wmdr/ObservingMethodTerrestrial/348,"Determination of water stage by means of a non-recording gauge (e.g., graduated vertical or inclined staff gauge, wire-weight gauge, graduated rod, tape or point gauge and maximum-stage gauge). [Based on 'Non-recording gauges' in Guide to Hydrological Practices (WMO-No. 168), Volume I. 2008 edition, updated in 2020.]",merge,manualWaterLevelMeasurement,Manual water-level measurement,close,discussion needed,ObservingMethod,Exact duplicate concept in the legacy registers. Legacy 'non-recording gauge' is an instrument category; proposed concept captures the common manual measurement.
Terrestrial,349,Staff gauge,http://codes.wmo.int/wmdr/ObservingMethodTerrestrial/349,"Determination of water stage by means of a graduated vertical scale, fixed to a staff or structure, on which the water level may be read. Synonym: vertical gauge. [Based on 'Staff gauge' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]",merge,graduatedScaleWaterLevelMeasurement,Graduated-scale water-level measurement,close,discussion needed,ObservingMethod,Exact duplicate concept in the legacy registers. Staff-gauge geometry is an instrument characteristic.
Terrestrial,350,Inclined gauge,http://codes.wmo.int/wmdr/ObservingMethodTerrestrial/350,Determination of water stage by means of a non-vertical scale which is graduated to indicate vertical heights. [Based on 'inclined gauge' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.],merge,graduatedScaleWaterLevelMeasurement,Graduated-scale water-level measurement,close,discussion needed,ObservingMethod,Inclination is an instrument geometry detail; same direct graduated-scale water-level method.
Terrestrial,365,Cup-type current meter,http://codes.wmo.int/wmdr/ObservingMethodTerrestrial/365,Determination of water velocity by means of a current meter whose rotor is composed of a wheel fitted with cups turning on a vertical axis. [Based on 'cup-type current meter' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.],merge,rotatingCupVelocityMeasurement,Rotating-cup velocity measurement,close,discussion needed,ObservingMethod,Same rotating-cup velocity principle as atmospheric cup anemometry; domain should not determine method identity.
Terrestrial,366,Propeller-type current meter,http://codes.wmo.int/wmdr/ObservingMethodTerrestrial/366,Determination of water velocity by means of a current meter in which the rotor is a propeller rotating around an axis parallel to the flow. [Based on 'propeller-type current meter' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.],merge,propellerVelocityMeasurement,Propeller velocity measurement,close,discussion needed,ObservingMethod,Same rotating-propeller velocity principle as atmospheric propeller anemometry.
Terrestrial,367,Acoustic (ultrasonic) velocity meter,http://codes.wmo.int/wmdr/ObservingMethodTerrestrial/367,Measurement of the difference in travel time of acoustic (ultrasonic) pulses between transducers in a stream to determine the mean velocity on the signal path. [Based on 'acoustic (ultrasonic) velocity meter' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.],merge,acousticTransitTimeVelocimetry,Acoustic transit-time velocimetry,exact,non-controversial,ObservingMethod,Travel-time difference of acoustic pulses is the method; this is domain-independent.
Terrestrial,369,Acoustic doppler current meter,http://codes.wmo.int/wmdr/ObservingMethodTerrestrial/369,"Determination of stream velocity by means of an acoustic Doppler instrument, which measures the velocity of the water based on the Doppler shift experienced by an acoustic pulse of energy which is reflected off particles suspended in, and moving with, the water. [Based on 'Acoustic Doppler Velocimeter' in Guide to Hydrological Practices (WMO-No. 168), Volume I. 2008 edition, updated in 2020.]",merge,acousticDopplerVelocimetry,Acoustic-Doppler velocimetry,exact,non-controversial,ObservingMethod,Same Doppler acoustic velocity-measurement principle; fixed/meter implementation belongs in instrument/deployment metadata.
Terrestrial,375,Volumetric method,http://codes.wmo.int/wmdr/ObservingMethodTerrestrial/375,"A process for measuring the discharge of a well, spring, or stream by diverting its flow into a volumetric container and timing the fill.",merge,volumetricMeasurement,Volumetric measurement,close,discussion needed,ObservingMethod,Likely same general principle as atmosphere 'Volumetric measurement'; definition is a specific timed-volume discharge application.
Terrestrial,378,Acoustic doppler velocity meter (ADVM),http://codes.wmo.int/wmdr/ObservingMethodTerrestrial/378,"Determination of water velocity by using the Doppler principle applied to sound transmitted under water, in which the instrument is mounted in a fixed position under the water, giving an index velocity for a significant part of the flowing stream. [Based on Manual on Stream Gauging (WMO No. 1044), volume I]",merge,acousticDopplerVelocimetry,Acoustic-Doppler velocimetry,exact,non-controversial,ObservingMethod,Same Doppler acoustic velocity-measurement principle; fixed/meter implementation belongs in instrument/deployment metadata.
Terrestrial,419,Frequency domain reflectometry,http://codes.wmo.int/wmdr/ObservingMethodTerrestrial/419,"Measurement of soil capacitance by means of radio frequency waves. The soil acts as the dielectric completing a capacitance circuit, which is part of a feedback loop of a high-frequency transistor oscillator. [Based on 'Frequency domain reflectometry' in Guide to Hydrological Practices (WMO-No. 168), Volume I. 2008 edition, updated in 2020.]",merge,frequencyDomainReflectometry,Frequency-domain reflectometry,exact,non-controversial,ObservingMethod,Exact duplicate concept in the legacy registers.
Terrestrial,420,Gamma-ray attenuation,http://codes.wmo.int/wmdr/ObservingMethodTerrestrial/420,"Determination of gamma-ray attenuation at given depth of soil using a source and a detector placed at a given distance at the same depth. If the apparent dry bulk density of the soil is known the signal can be converted into a measure of the volumetric soil-moisture content. [Based on 'Gamma-ray attenuation' in Guide to Hydrological Practices (WMO-No. 168), Volume I. 2008 edition, updated in 2020.]",merge,gammaRayAttenuation,Gamma-ray attenuation,exact,non-controversial,ObservingMethod,Exact duplicate concept in the legacy registers.
Terrestrial,421,Non-recording gauge,http://codes.wmo.int/wmdr/ObservingMethodTerrestrial/421,"Determination of water stage by means of a non-recording gauge (e.g., graduated vertical or inclined staff gauge, wire-weight gauge, graduated rod, tape or point gauge and maximum-stage gauge). [Based on 'Non-recording gauges' in Guide to Hydrological Practices (WMO-No. 168), Volume I. 2008 edition, updated in 2020.]",merge,manualWaterLevelMeasurement,Manual water-level measurement,close,discussion needed,ObservingMethod,Exact duplicate concept in the legacy registers. Legacy 'non-recording gauge' is an instrument category; proposed concept captures the common manual measurement.
Terrestrial,422,Staff gauge,http://codes.wmo.int/wmdr/ObservingMethodTerrestrial/422,"Determination of water stage by means of a graduated vertical scale, fixed to a staff or structure, on which the water level may be read. Synonym: vertical gauge. [Based on 'Staff gauge' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]",merge,graduatedScaleWaterLevelMeasurement,Graduated-scale water-level measurement,close,discussion needed,ObservingMethod,Exact duplicate concept in the legacy registers. Staff-gauge geometry is an instrument characteristic.
Atmosphere,24,Human observation,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/24,Observation of clouds from the Earth's surface by a human observer (ref: https://cloudatlas.wmo.int/en/observation-of-clouds-from-the-earths-surface.html),move,,,,non-controversial,SourceOfObservation,"Human observation describes the source of observation, not the scientific observing method."
Atmosphere,67,Anion exchange membrane (AEM),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/67,,move,,,,discussion needed,SampleTreatment/SamplingStrategy,Legacy entry primarily describes sampling or sample treatment rather than the analytical/observing method.
Atmosphere,72,BSRN compliant instrument,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/72,,move,,,,non-controversial,Instrument/Procedure,"Compliance with BSRN requirements is an instrument/procedure qualification, not a measurement principle."
Atmosphere,97,Cuvette,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/97,,move,,,,non-controversial,Instrument,"A cuvette is a sample cell/component, not an observing method."
Atmosphere,98,Denuder,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/98,,move,,,,non-controversial,SamplingStrategy/SampleTreatment,Legacy entry primarily describes sampling or sample treatment rather than the analytical/observing method.
Atmosphere,99,Denuder,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/99,,move,,,,non-controversial,SamplingStrategy/SampleTreatment,Legacy entry primarily describes sampling or sample treatment rather than the analytical/observing method.
Atmosphere,120,Flask sampling (analytical method unspecified),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/120,,move,,,,non-controversial,SamplingStrategy,Legacy entry primarily describes sampling or sample treatment rather than the analytical/observing method.
Atmosphere,157,NILU_O_2,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/157,,move,,,,discussion needed,Instrument/Procedure,Legacy label is an unexplained NILU-specific identifier with no definition; do not mint it as a scientific method without clarification.
Atmosphere,158,NILU_O_3,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/158,,move,,,,discussion needed,Instrument/Procedure,Legacy label is an unexplained NILU-specific identifier with no definition; do not mint it as a scientific method without clarification.
Atmosphere,166,Ozone sonde (unspecified),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/166,,move,,,,discussion needed,Instrument; ObservingMethod nilReason=unknown,Generic 'ozone sonde' identifies an instrument class but does not specify its measurement principle.
Atmosphere,167,Passive Samplers [general],http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/167,,move,,,,non-controversial,SamplingStrategy,Legacy entry primarily describes sampling or sample treatment rather than the analytical/observing method.
Atmosphere,170,Pluviograph,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/170,,move,,,,discussion needed,Instrument; ObservingMethod to be determined,"Pluviograph describes a recording instrument class, not a unique measurement principle."
Atmosphere,208,Transport modeling (model unspecified),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/208,,move,,,,non-controversial,Derivation/ProcessingMethod,Transport modelling derives information; it is not a direct observation method.
Atmosphere,218,EUSAAR protocol,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/218,,move,,,,non-controversial,Procedure/Protocol,EUSAAR is a protocol; the underlying analytical method should be recorded separately.
Atmosphere,239,Multistage impactor,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/239,,move,,,,discussion needed,SamplingStrategy,A multistage impactor primarily performs size-selective sampling/fractionation.
Atmosphere,246,Flexpart (dispersion modeling),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/246,,move,,,,non-controversial,Derivation/ProcessingMethod,"FLEXPART is modelling/trajectory software, not an observation method."
Atmosphere,247,Flextra (trajectory modeling),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/247,,move,,,,non-controversial,Derivation/ProcessingMethod,"FLEXTRA is modelling/trajectory software, not an observation method."
Atmosphere,248,Hysplit (trajectory modeling),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/248,,move,,,,non-controversial,Derivation/ProcessingMethod,"HYSPLIT is modelling/trajectory software, not an observation method."
Atmosphere,249,Lagranto (trajectory modeling),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/249,,move,,,,non-controversial,Derivation/ProcessingMethod,"LAGRANTO is modelling/trajectory software, not an observation method."
Atmosphere,258,Electrical aspiration (Frankenberger type),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/258,,move,,,,discussion needed,Instrument/Procedure,Aspiration describes ventilation/airflow through the sensor rather than the sensing principle.
Atmosphere,259,Mechanical aspiration,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/259,,move,,,,discussion needed,Instrument/Procedure,Aspiration describes ventilation/airflow through the sensor rather than the sensing principle.
Atmosphere,279,Filter sampling (analytical method unspecified),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/279,,move,,,,non-controversial,SamplingStrategy,Legacy entry primarily describes sampling or sample treatment rather than the analytical/observing method.
Atmosphere,286,Impregnated filter,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/286,,move,,,,non-controversial,SamplingStrategy/SampleTreatment,Legacy entry primarily describes sampling or sample treatment rather than the analytical/observing method.
Atmosphere,331,Radiosonde (tracking unspecified),http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/331,,move,,,,non-controversial,Instrument; ObservingMethod nilReason=unknown,Tracking method is explicitly unspecified.
Atmosphere,414,Fog collection,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/414,Collection of fog using a mesh or similar capturing device and subsequent determination of the equivalent volume or mass of water.,move,,,,non-controversial,SamplingStrategy,"Fog collection is sampling, not the analytical observing method."
Terrestrial,354,Recording gauge,http://codes.wmo.int/wmdr/ObservingMethodTerrestrial/354,"Determination of water stage by means of a recording gauge, for example, a device that automatically records the water level as detected by a sensor, either continuously or at regular time intervals. Synonyms: limnigraph, stage recorder, water-level recorder. [Based on 'water-level recorder' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]",move,,,,discussion needed,Instrument; ObservingMethod to be determined,A generic recording gauge states only that values are recorded; it does not define the sensing principle.
Atmosphere,inapplicable,inapplicable,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/inapplicable,None of the codes in the table are applicable in the context of this particular observation.,nilReason,,,,non-controversial,nilReason,Not an observing method; represent this as a nilReason rather than a code-list concept.
Atmosphere,unknown,unknown,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/unknown,The measurement/observing method is unknown.,nilReason,,,,non-controversial,nilReason,Not an observing method; represent this as a nilReason rather than a code-list concept.
Terrestrial,inapplicable,inapplicable,http://codes.wmo.int/wmdr/ObservingMethodTerrestrial/inapplicable,None of the codes in the table are applicable in the context of this particular observation.,nilReason,,,,non-controversial,nilReason,Not an observing method; represent this as a nilReason rather than a code-list concept.
Terrestrial,unknown,unknown,http://codes.wmo.int/wmdr/ObservingMethodTerrestrial/unknown,The measurement/observing method is unknown.,nilReason,,,,non-controversial,nilReason,Not an observing method; represent this as a nilReason rather than a code-list concept.
Atmosphere,58,(Optical) filter Instrument,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/58,,rename,filterRadiometry,Filter radiometry,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,59,(Ruler for) rain gauge,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/59,,rename,graduatedScalePrecipitationMeasurement,Graduated-scale precipitation measurement,close,discussion needed,ObservingMethod,Legacy entry names an instrument or instrument type; proposed mapping expresses the measurement principle instead.
Atmosphere,64,Alpha counting,http://codes.wmo.int/wmdr/ObservingMethodAtmosphere/64,,rename,alphaCounting,Alpha counting,exact,non-controversial,ObservingMethod,Method already principle-oriented.
