uri,notation,label,description,reviewStatus,definitionStatus,sourceStatus,legacyDomains,legacyMappings,legacyLabels,notes
http://codes.wmo.int/wmdr/ObservingMethod/condensationParticleCounting,condensationParticleCounting,Condensation-particle counting,Counting of particles after condensational growth to optically detectable size.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:232,Condensation particle counter (CPC),
http://codes.wmo.int/wmdr/ObservingMethod/conductiveHeatFluxMeasurement,conductiveHeatFluxMeasurement,Conductive heat-flux measurement,,discussion needed,needed,legacy-derived,Terrestrial,Terrestrial:128,Soil heat flux plate,
http://codes.wmo.int/wmdr/ObservingMethod/continuousGravimetry,continuousGravimetry,Continuous gravimetry,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:233,Continuous gravimetry,
http://codes.wmo.int/wmdr/ObservingMethod/contrastEvaluationAndScanning,contrastEvaluationAndScanning,Contrast evaluation and scanning,Sunshine duration is determined by combining multi-sensor detectors with an electronic discriminator.,discussion needed,inherited,legacy-derived,Atmosphere,Atmosphere:416,Contrast-evaluating and scanning devices,
http://codes.wmo.int/wmdr/ObservingMethod/coulometry,coulometry,Coulometry,Electrochemical determination based on the total electric charge consumed or produced by a reaction.,discussion needed,drafted,missing-candidate,,,,Common analytical method absent from the current lists.
http://codes.wmo.int/wmdr/ObservingMethod/currentVelocimetry,currentVelocimetry,Current velocimetry,Generic determination of water-current velocity when the specific sensing principle is not stated.,discussion needed,drafted,legacy-derived,Terrestrial,Terrestrial:364,Water current meter,
http://codes.wmo.int/wmdr/ObservingMethod/differentialMobilityParticleSizing,differentialMobilityParticleSizing,Differential-mobility particle sizing,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:234,"Differential mobility particle sizer (DMA, DMPS)",
http://codes.wmo.int/wmdr/ObservingMethod/differentialOpticalAbsorptionSpectroscopy,differentialOpticalAbsorptionSpectroscopy,Differential optical absorption spectroscopy,Spectroscopic determination based on wavelength-dependent differential optical absorption.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:189; Atmosphere:321,SAOZ (UV-vis diode array spectrometer); Differential optical absorption (DOAS),Consolidates 2 legacy entries.
http://codes.wmo.int/wmdr/ObservingMethod/differentialUltravioletAbsorptionSpectrophotometry,differentialUltravioletAbsorptionSpectrophotometry,Differential ultraviolet absorption spectrophotometry,Determination of a constituent amount from differential absorption of ultraviolet radiation at selected wavelengths.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:78; Atmosphere:106,Brewer; Dobson,"Consolidates 2 legacy entries. Legacy dispositions: merge, rename."
http://codes.wmo.int/wmdr/ObservingMethod/diffusionBatteryParticleSizing,diffusionBatteryParticleSizing,Diffusion-battery particle sizing,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:235,Diffusion battery,
http://codes.wmo.int/wmdr/ObservingMethod/disdrometry,disdrometry,Disdrometry,"Determination of hydrometeor size, fall speed or related precipitation characteristics from individual particles or drops.",discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:102,Disdrometer (drop spectrographs),
http://codes.wmo.int/wmdr/ObservingMethod/dissipationMethod,dissipationMethod,Dissipation method,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:105,Dissipation method,
http://codes.wmo.int/wmdr/ObservingMethod/elasticBackscatterLidar,elasticBackscatterLidar,Elastic-backscatter lidar,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:245,Ceilometer,
http://codes.wmo.int/wmdr/ObservingMethod/electricalMobilityClassification,electricalMobilityClassification,Electrical-mobility classification,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:237,Electrostatic classifier,
http://codes.wmo.int/wmdr/ObservingMethod/electrochemicalConcentrationCell,electrochemicalConcentrationCell,Electrochemical concentration-cell measurement,Electrochemical determination of concentration using a concentration cell in which the measurand produces a measurable electrical response.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:107,ECC Sonde,
http://codes.wmo.int/wmdr/ObservingMethod/environmentalDNAAnalysis,environmentalDNAAnalysis,Environmental DNA analysis,Detection or characterization of organisms from DNA recovered from environmental samples.,discussion needed,drafted,missing-candidate,,,,DNA remains uppercase as a retained established acronym; definition of sampling versus analytical method needs review.
http://codes.wmo.int/wmdr/ObservingMethod/faradayCupPhotochemistry,faradayCupPhotochemistry,Faraday-cup photochemistry,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:114,Faraday cup photochemistry,
http://codes.wmo.int/wmdr/ObservingMethod/filterRadiometry,filterRadiometry,Filter radiometry,Radiometric measurement in one or more spectral bands selected by optical filters.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:58,(Optical) filter Instrument,
http://codes.wmo.int/wmdr/ObservingMethod/flowCytometry,flowCytometry,Flow cytometry,Measurement and classification of particles or cells in a flowing stream from optical or other detector responses.,discussion needed,drafted,missing-candidate,,,,Candidate biological and water-quality method.
http://codes.wmo.int/wmdr/ObservingMethod/flumeDischargeMeasurement,flumeDischargeMeasurement,Flume discharge measurement,Determination of discharge from the hydraulic relation between flow and stage in a calibrated flume.,discussion needed,drafted,legacy-derived,Terrestrial,Terrestrial:362,Flume,
http://codes.wmo.int/wmdr/ObservingMethod/fluorescenceMeasurement,fluorescenceMeasurement,Fluorescence measurement,Determination based on light emitted by a substance following excitation.,discussion needed,drafted,legacy-derived,Atmosphere; Ocean,Atmosphere:294; Ocean:400,"Fluorescence [general]; Fluorometry, optical backscattering","Consolidates 2 legacy entries. Legacy dispositions: rename, split."
http://codes.wmo.int/wmdr/ObservingMethod/fourierTransformInfraredSpectroscopy,fourierTransformInfraredSpectroscopy,Fourier-transform infrared spectroscopy,Infrared spectroscopy in which an interferogram is transformed mathematically to obtain the spectrum.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:322; Atmosphere:323,Fourier-transform IR spectroscopy (FTIR); TCCON Fourier-transform IR spectroscopy (TCCON-FTIR),"Consolidates 2 legacy entries. Legacy dispositions: merge, rename."
http://codes.wmo.int/wmdr/ObservingMethod/gasChromatographyElectronCaptureMassSpectrometry,gasChromatographyElectronCaptureMassSpectrometry,Gas chromatography with electron-capture detection and mass spectrometry,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:300,GC-ECD-MS,
http://codes.wmo.int/wmdr/ObservingMethod/gasChromatographyHgOReductionUltravioletAbsorption,gasChromatographyHgOReductionUltravioletAbsorption,Gas chromatography with HgO reduction and ultraviolet absorption,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:302,GC-HgO reduction-UV absorption,
http://codes.wmo.int/wmdr/ObservingMethod/gradientMethod,gradientMethod,Gradient method,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:125,Gradient method,
http://codes.wmo.int/wmdr/ObservingMethod/graduatedScaleMeasurement,graduatedScaleMeasurement,Graduated-scale measurement,Direct manual determination of a quantity by reading a calibrated graduated scale.,discussion needed,drafted,legacy-derived,Terrestrial,Terrestrial:261,Graduated device,
http://codes.wmo.int/wmdr/ObservingMethod/graduatedScalePrecipitationMeasurement,graduatedScalePrecipitationMeasurement,Graduated-scale precipitation measurement,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:59,(Ruler for) rain gauge,
http://codes.wmo.int/wmdr/ObservingMethod/graduatedScaleWaterLevelMeasurement,graduatedScaleWaterLevelMeasurement,Graduated-scale water-level measurement,Direct determination of water level by reading a calibrated vertical or inclined scale.,discussion needed,drafted,legacy-derived,Terrestrial,Terrestrial:349; Terrestrial:350; Terrestrial:422,Staff gauge; Inclined gauge,Consolidates 3 legacy entries.
http://codes.wmo.int/wmdr/ObservingMethod/gravimetricPrecipitationMeasurement,gravimetricPrecipitationMeasurement,Gravimetric precipitation measurement,Determination of accumulated precipitation from the measured mass of collected precipitation.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:212,Weighing type rain gauge (totalizer),
http://codes.wmo.int/wmdr/ObservingMethod/gravimetricSnowWaterEquivalentMeasurement,gravimetricSnowWaterEquivalentMeasurement,Gravimetric snow-water-equivalent measurement,Determination of snow water equivalent from the measured mass of the snow cover over a known area.,discussion needed,drafted,legacy-derived,Terrestrial,Terrestrial:262,Snow pillows and snow scales,
http://codes.wmo.int/wmdr/ObservingMethod/hygrometry,hygrometry,Hygrometry,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:254,Hygrometer [general],
http://codes.wmo.int/wmdr/ObservingMethod/inductiveConductivityMeasurement,inductiveConductivityMeasurement,Inductive conductivity measurement,Determination of electrical conductivity from inductive or electromagnetic coupling without direct conductive electrodes.,discussion needed,drafted,legacy-derived,Ocean,Ocean:405,Inductivity,
http://codes.wmo.int/wmdr/ObservingMethod/infraredRadiometry,infraredRadiometry,Infrared radiometry,Radiometric measurement in the infrared spectral region.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:179; Atmosphere:265,"Pyranometer (measurement of IR radiation); Pyrgeometer (global, infrared)","Consolidates 2 legacy entries. Legacy dispositions: merge, rename."
http://codes.wmo.int/wmdr/ObservingMethod/infraredSpectroradiometry,infraredSpectroradiometry,Infrared spectroradiometry,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:314,IR spectrometry-radiometry [general],
http://codes.wmo.int/wmdr/ObservingMethod/interferometry,interferometry,Interferometry,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:136,Interferential method,
http://codes.wmo.int/wmdr/ObservingMethod/ionChromatography,ionChromatography,Ion chromatography,Chromatographic separation and determination of ionic species.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:137; Atmosphere:222; Atmosphere:281; Atmosphere:283; Atmosphere:292; Atmosphere:304,Ion Chromatography (IC) [general]; Monitor for AeRosols and GAses (MARGA); Filter sampling + combustion + IC; Filter sampling + extraction + IC; Monitor for AeRosols and GAses (MARGA) Metrohm; H2O2 conversion - IC,"Consolidates 6 legacy entries. Legacy dispositions: merge, rename, split."
http://codes.wmo.int/wmdr/ObservingMethod/laserInducedBreakdownSpectroscopy,laserInducedBreakdownSpectroscopy,Laser-induced breakdown spectroscopy,Elemental spectroscopic analysis based on optical emission from a laser-induced plasma.,discussion needed,drafted,missing-candidate,,,,Widely used environmental and remote analytical spectroscopy method absent from the current lists.
http://codes.wmo.int/wmdr/ObservingMethod/lightAttenuationPhotometry,lightAttenuationPhotometry,Light-attenuation photometry,Photometric determination based on attenuation of light by a sample or collected material.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:220; Atmosphere:224,Filter + light attenuation (aethalometer); Particle soot absorption photometry (PSAP),"Consolidates 2 legacy entries. Legacy dispositions: merge, split."
http://codes.wmo.int/wmdr/ObservingMethod/liquidColumnPressureMeasurement,liquidColumnPressureMeasurement,Liquid-column pressure measurement,Determination of pressure from the height of a non-mercury liquid column.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:74,"Barometer, mercury-free column",
http://codes.wmo.int/wmdr/ObservingMethod/lithiumChlorideHygrometry,lithiumChlorideHygrometry,Lithium-chloride hygrometry,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:252,Lithium chloride (LiCl),
http://codes.wmo.int/wmdr/ObservingMethod/lymanAlphaFluorescenceHygrometry,lymanAlphaFluorescenceHygrometry,Lyman-alpha fluorescence hygrometry,Detection of UV fluorescence signal emitted by the excited OH radical produced from H2O after dissociation using UV light.,discussion needed,inherited,legacy-derived,Atmosphere,Atmosphere:257,UV fluorescence-based hygrometer (Lyman-α),
http://codes.wmo.int/wmdr/ObservingMethod/lysimetry,lysimetry,Lysimetry,Determination of water balance components from changes in mass or water content of a defined soil or vegetation volume.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:146,Lysimeter,
http://codes.wmo.int/wmdr/ObservingMethod/manualWaterLevelMeasurement,manualWaterLevelMeasurement,Manual water-level measurement,Manual determination of water level using a non-recording reference or gauge.,discussion needed,drafted,legacy-derived,Terrestrial,Terrestrial:348; Terrestrial:421,Non-recording gauge,Consolidates 2 legacy entries.
http://codes.wmo.int/wmdr/ObservingMethod/maximumStageMarkMeasurement,maximumStageMarkMeasurement,Maximum-stage mark measurement,"Determination of the elevation of the flood crest by the adherence of regranulated cork to a graduated staff held in a fixed position with relation to the datum. [Based on 'maximum-stage gauge' in Guide to Hydrological Practices (WMO-No. 168), Volume I. 2008 edition, updated in 2020.]",discussion needed,inherited,legacy-derived,Terrestrial,Terrestrial:353,Maximum-stage gauge,
http://codes.wmo.int/wmdr/ObservingMethod/membranePolarographicOxygenMeasurement,membranePolarographicOxygenMeasurement,Membrane-polarographic oxygen measurement,Determination of dissolved oxygen by membrane-separated polarographic electrochemical measurement.,discussion needed,drafted,legacy-derived,Ocean,Ocean:409,Clark electrode polarographic method,
http://codes.wmo.int/wmdr/ObservingMethod/microbarometry,microbarometry,Microbarometry,Measurement of small atmospheric pressure variations.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:150,Microbarometer (dewar),
http://codes.wmo.int/wmdr/ObservingMethod/microscopy,microscopy,Microscopy,"Observation and measurement of structures or organisms using magnified optical, electron or scanning-probe imaging.",discussion needed,drafted,missing-candidate,,,,Candidate biological/chemical method for a domain-independent list.
http://codes.wmo.int/wmdr/ObservingMethod/microwaveRadiometry,microwaveRadiometry,Microwave radiometry,Determination of a measurand from naturally emitted or transmitted microwave radiation.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:154; Atmosphere:155; Atmosphere:156; Atmosphere:336,Microwave profiler; Microwave radiometry,Consolidates 4 legacy entries.
http://codes.wmo.int/wmdr/ObservingMethod/molecularAssay,molecularAssay,Molecular assay,"Detection or quantification of biological or chemical targets using molecular recognition, amplification or sequence-based techniques.",discussion needed,drafted,missing-candidate,,,,Broad candidate parent method; likely requires narrower concepts before adoption.
http://codes.wmo.int/wmdr/ObservingMethod/navigationAidRadiosondeTracking,navigationAidRadiosondeTracking,Navigation-aid radiosonde tracking,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:327,Radiosonde with NAVAID,
http://codes.wmo.int/wmdr/ObservingMethod/neutronModerationMoistureMeasurement,neutronModerationMoistureMeasurement,Neutron-moderation moisture measurement,Measurement of the moisture content and hence the porosity of a geological formation by means of lowering a tool containing a radioactive element emitting neutrons and a neutron detector into a borehole. [Based on 'neutron logging' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.],discussion needed,inherited,legacy-derived,Terrestrial,Terrestrial:159,Neutron probe,
http://codes.wmo.int/wmdr/ObservingMethod/opticalAttenuationMeasurement,opticalAttenuationMeasurement,Optical attenuation measurement,Determination of a property from attenuation of visible or near-visible optical radiation through a medium.,discussion needed,drafted,legacy-derived,Terrestrial,Terrestrial:370,Optical or nuclear suspended-sediment gauge,
http://codes.wmo.int/wmdr/ObservingMethod/opticalBackscatterMeasurement,opticalBackscatterMeasurement,Optical backscatter measurement,Determination of a property from the intensity of light scattered back toward the source or detector.,discussion needed,drafted,legacy-derived,Atmosphere; Ocean,Atmosphere:228; Ocean:400,"Aerosol backscatter sonde; Fluorometry, optical backscattering","Consolidates 2 legacy entries. Legacy dispositions: rename, split."
http://codes.wmo.int/wmdr/ObservingMethod/opticalHygrometry,opticalHygrometry,Optical hygrometry,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:256,Optical hygrometer,
http://codes.wmo.int/wmdr/ObservingMethod/opticalParticleCounting,opticalParticleCounting,Optical particle counting,"Counting and, where applicable, sizing of particles from their optical scattering or extinction signals.",discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:240,Optical particle counter (OPC),
http://codes.wmo.int/wmdr/ObservingMethod/panEvaporationMeasurement,panEvaporationMeasurement,Pan evaporation measurement,Determination of evaporation from the change in water level or volume in an exposed pan or tank.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:113,Evaporation pan and-or tank,
http://codes.wmo.int/wmdr/ObservingMethod/photogrammetry,photogrammetry,Photogrammetry,Determination of geometric or physical properties from measurements in one or more images.,discussion needed,drafted,missing-candidate,,,,Domain-independent image-based measurement method.
http://codes.wmo.int/wmdr/ObservingMethod/piezoresistivePressureMeasurement,piezoresistivePressureMeasurement,Piezoresistive pressure measurement,Determination of pressure from the change in electrical resistance of a material or transducer under mechanical stress.,discussion needed,drafted,legacy-derived,Atmosphere; Ocean,Atmosphere:111; Ocean:406,Electronic pressure transducer (silicon diaphragm); Piezoresistivity,Consolidates 2 legacy entries.
http://codes.wmo.int/wmdr/ObservingMethod/platinumResistanceThermometry,platinumResistanceThermometry,Platinum resistance thermometry,Determination of temperature from the calibrated electrical resistance of a platinum sensing element.,discussion needed,drafted,missing-candidate,,,,Widely used reference-quality and operational temperature method; narrower than generic resistance thermometry.
http://codes.wmo.int/wmdr/ObservingMethod/pointGaugeWaterLevelMeasurement,pointGaugeWaterLevelMeasurement,Point-gauge water-level measurement,"Level measurement gauge, the essential element of which is a pointed rod that is lowered until it touches the water surface. [International Glossary of Hydrology (WMO-No. 385). 2012 edition.]",discussion needed,inherited,legacy-derived,Terrestrial,Terrestrial:352,Point gauge,
http://codes.wmo.int/wmdr/ObservingMethod/polarimetricRadar,polarimetricRadar,Polarimetric radar,Radar measurement using differences in the polarization state of transmitted and received electromagnetic radiation.,discussion needed,drafted,missing-candidate,,,,Important modern radar method distinct from generic radar and Doppler velocity measurement.
http://codes.wmo.int/wmdr/ObservingMethod/potassiumIodideElectrochemicalOzoneMeasurement,potassiumIodideElectrochemicalOzoneMeasurement,Potassium-iodide electrochemical ozone measurement,Electrochemical ozone measurement based on reaction of ozone with aqueous potassium iodide in an ozonesonde-type cell.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:79; Atmosphere:80; Atmosphere:84; Atmosphere:135,Brewer-GDR; Brewer-Mast Sonde; Carbon-Iodine Sonde (KC Sonde); Indian Sonde,Consolidates 4 legacy entries.
http://codes.wmo.int/wmdr/ObservingMethod/potassiumIodideOzoneMeasurement,potassiumIodideOzoneMeasurement,Potassium-iodide ozone measurement,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:171,Potassium iodide (KI) method,
http://codes.wmo.int/wmdr/ObservingMethod/potentiometry,potentiometry,Potentiometry,Electrochemical determination of a measurand from the electrical potential difference between an indicator electrode or sensor and a reference electrode.,discussion needed,drafted,legacy-derived,Atmosphere; Ocean,Atmosphere:172; Atmosphere:173; Ocean:411,Potentiometry (ion-selective electrode); Potentiometry (pH meter); Potentiometric method,Consolidates 3 legacy entries.
http://codes.wmo.int/wmdr/ObservingMethod/pressurePlateAnemometry,pressurePlateAnemometry,Pressure-plate anemometry,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:175,Pressure plate (solid blade),
http://codes.wmo.int/wmdr/ObservingMethod/pressureTubeAnemometry,pressureTubeAnemometry,Pressure-tube anemometry,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:176,Pressure tube,
http://codes.wmo.int/wmdr/ObservingMethod/propellerVelocityMeasurement,propellerVelocityMeasurement,Propeller velocity measurement,Determination of fluid velocity from the rotation rate of a propeller or vane rotor aligned with the flow.,discussion needed,drafted,legacy-derived,Atmosphere; Terrestrial,Atmosphere:63; Atmosphere:177; Terrestrial:366,Aerovane (wind vane with propeller); Propeller anemometer; Propeller-type current meter,"Consolidates 3 legacy entries. Legacy dispositions: merge, split."
http://codes.wmo.int/wmdr/ObservingMethod/psychrometry,psychrometry,Psychrometry,"Determination of humidity from paired temperature measurements, commonly dry-bulb and ventilated wet-bulb temperatures.",discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:340,Wet-bulb thermometer,
http://codes.wmo.int/wmdr/ObservingMethod/radarProfiling,radarProfiling,Radar profiling,Determination of a vertical or slanted profile from radar returns.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:184,Radio detection and ranging (Radar) profiler,
http://codes.wmo.int/wmdr/ObservingMethod/radarRemoteSensing,radarRemoteSensing,Radar remote sensing,Remote sensing using transmitted radio-frequency electromagnetic radiation and analysis of the returned signal.,discussion needed,drafted,legacy-derived,Atmosphere,Atmosphere:183,Radio detection and ranging (Radar),
http://codes.wmo.int/wmdr/ObservingMethod/radiochemicalMethods,radiochemicalMethods,Radiochemical methods,,discussion needed,needed,legacy-derived,Atmosphere,Atmosphere:185,Radiochemical Methods [general],
http://codes.wmo.int/wmdr/ObservingMethod/resistanceBasedMoistureMeasurement,resistanceBasedMoistureMeasurement,Resistance-based moisture measurement,"Determination of electrical resistance between two electrodes embedded in blocks of a porous material buried in the ground and in equilibrium with the surrounding moist soil. [Based on 'porous blocks/electrical resistance blocks' in Guide to Hydrological Practices (WMO-No. 168), Volume II. 2009 edition.]",discussion needed,inherited,legacy-derived,Terrestrial,Terrestrial:187,Electrical resistance blocks (Porous blocks),
http://codes.wmo.int/wmdr/ObservingMethod/resonantPressureMeasurement,resonantPressureMeasurement,Resonant pressure measurement,Determination of pressure from pressure-induced changes in the resonant frequency of a mechanical or acoustic element.,discussion needed,drafted,missing-candidate,,,,Common modern pressure-transduction principle.
http://codes.wmo.int/wmdr/ObservingMethod/rotatingCupVelocityMeasurement,rotatingCupVelocityMeasurement,Rotating-cup velocity measurement,Determination of fluid velocity from the rotation rate of a cup rotor exposed to the flow.,discussion needed,drafted,legacy-derived,Atmosphere; Terrestrial,Atmosphere:95; Atmosphere:96; Terrestrial:365,Cup anemometer; Cup anemometer (3 or 4 cups); Cup-type current meter,Consolidates 3 legacy entries.
http://codes.wmo.int/wmdr/ObservingMethod/satelliteNavigationAtmosphericDelay,satelliteNavigationAtmosphericDelay,Satellite-navigation atmospheric-delay measurement,Determination of atmospheric properties from propagation delays in signals from navigation satellites.,discussion needed,drafted,missing-candidate,,,,Covers atmospheric water-vapour and related retrievals without embedding a particular navigation-system acronym.
http://codes.wmo.int/wmdr/ObservingMethod/satelliteNavigationPositionDifferencing,satelliteNavigationPositionDifferencing,Satellite-navigation position differencing,Determination of displacement or velocity from differences between successive satellite-navigation position fixes.,discussion needed,drafted,legacy-derived,Ocean,Ocean:408,GPS fixes sequence comparison,
